freq,epsilon_r       ,epsilon_i       
80571428571,1.972,-0.0042
80600000000,1.972,-0.00415
80628571429,1.972,-0.00411
80657142857,1.972,-0.00406
80685714286,1.972,-0.00402
80714285714,1.972,-0.00397
80742857143,1.972,-0.00392
80771428571,1.972,-0.00388
80800000000,1.972,-0.00383
80828571429,1.972,-0.00378
80857142857,1.972,-0.00372
80885714286,1.972,-0.00367
80914285714,1.972,-0.00362
80942857143,1.972,-0.00357
80971428571,1.972,-0.00351
81000000000,1.972,-0.00346
81028571429,1.972,-0.0034
81057142857,1.972,-0.00335
81085714286,1.972,-0.00329
81114285714,1.973,-0.00323
81142857143,1.973,-0.00317
81171428571,1.973,-0.00312
81200000000,1.973,-0.00306
81228571429,1.973,-0.003
81257142857,1.973,-0.00294
81285714286,1.973,-0.00288
81314285714,1.973,-0.00282
81342857143,1.973,-0.00276
81371428571,1.973,-0.00313
81400000000,1.973,-0.00307
81428571429,1.973,-0.00301
81457142857,1.973,-0.00295
81485714286,1.973,-0.00246
81514285714,1.973,-0.0024
81542857143,1.973,-0.00234
81571428571,1.973,-0.00228
81600000000,1.973,-0.00222
81628571429,1.973,-0.00216
81657142857,1.973,-0.0021
81685714286,1.973,-0.00205
81714285714,1.973,-0.00199
81742857143,1.973,-0.00193
81771428571,1.973,-0.00217
81800000000,1.973,-0.00211
81828571429,1.973,-0.00204
81857142857,1.973,-0.00198
81885714286,1.973,-0.00192
81914285714,1.973,-0.00186
81942857143,1.973,-0.00181
81971428571,1.973,-0.00175
82000000000,1.973,-0.00143
82028571429,1.973,-0.00138
82057142857,1.973,-0.00133
82085714286,1.973,-0.00128
82114285714,1.973,-0.00123
82142857143,1.973,-0.00118
82171428571,1.973,-0.00114
82200000000,1.973,-0.00109
82228571429,1.973,-0.00104
82257142857,1.973,-0.001
82285714286,1.973,-0.00095
82314285714,1.973,-0.00091
82342857143,1.973,-0.00087
82371428571,1.973,-0.00083
82400000000,1.973,-0.00079
82428571429,1.973,-0.00075
82457142857,1.973,-0.00071
82485714286,1.973,-0.00068
82514285714,1.974,-0.00064
82542857143,1.974,-0.00061
82571428571,1.974,-0.00057
82600000000,1.974,-0.00054
82628571429,1.974,-0.00051
82657142857,1.974,-0.00048
82685714286,1.974,-0.00045
82714285714,1.974,-0.00042
82742857143,1.974,-0.0004
82771428571,1.974,-0.00037
82800000000,1.974,-0.00035
82828571429,1.974,-0.00033
82857142857,1.974,-0.00031
82885714286,1.974,-0.00028
82914285714,1.974,-0.00027
82942857143,1.974,-0.00025
82971428571,1.974,-0.00023
83000000000,1.974,-0.00021
83028571429,1.974,-0.0002
83057142857,1.974,-0.00019
83085714286,1.974,-0.00017
83114285714,1.974,-0.00016
83142857143,1.974,-0.00015
83171428571,1.974,-0.00014
83200000000,1.974,-0.00013
83228571429,1.974,-0.00013
83257142857,1.974,-0.00012
83285714286,1.974,-0.00011
83314285714,1.974,-0.00012
83342857143,1.974,-0.00013
83371428571,1.974,-0.00014
83400000000,1.974,-0.00011
83428571429,1.974,-0.00011
83457142857,1.974,-0.00012
83485714286,1.975,-0.00012
83514285714,1.975,-0.00012
83542857143,1.975,-0.00013
83571428571,1.975,-0.00014
83600000000,1.975,-0.00014
83628571429,1.975,-0.00015
83657142857,1.975,-0.00016
83685714286,1.975,-0.00017
83714285714,1.975,-0.00018
83742857143,1.975,-0.00019
83771428571,1.975,-0.0002
83800000000,1.975,-0.00021
83828571429,1.975,-0.00023
83857142857,1.975,-0.00019
83885714286,1.975,-0.00025
83914285714,1.975,-0.00025
83942857143,1.975,-0.00025
