freq,epsilon_r       ,epsilon_i       
95142857143,1.668,0.00041
95171428571,1.668,0.00042
95200000000,1.668,0.00043
95228571429,1.668,0.00043
95257142857,1.668,0.00044
95285714286,1.669,0.00044
95314285714,1.669,0.00045
95342857143,1.669,0.00045
95371428571,1.669,0.00046
95400000000,1.669,0.00046
95428571429,1.669,0.00047
95457142857,1.669,0.00047
95485714286,1.669,0.00048
95514285714,1.669,0.00049
95542857143,1.669,0.00049
95571428571,1.669,0.00050
95600000000,1.669,0.00050
95628571429,1.669,0.00051
95657142857,1.669,0.00051
95685714286,1.669,0.00052
95714285714,1.669,0.00062
95742857143,1.669,0.00061
95771428571,1.669,0.00061
95800000000,1.669,0.00061
95828571429,1.669,0.00054
95857142857,1.669,0.00054
95885714286,1.669,0.00055
95914285714,1.669,0.00055
95942857143,1.669,0.00055
95971428571,1.669,0.00055
96000000000,1.669,0.00056
96028571429,1.669,0.00056
96057142857,1.669,0.00056
96085714286,1.669,0.00056
96114285714,1.669,0.00057
96142857143,1.669,0.00057
96171428571,1.669,0.00057
96200000000,1.670,0.00057
96228571429,1.670,0.00057
96257142857,1.670,0.00057
96285714286,1.670,0.00057
96314285714,1.670,0.00057
96342857143,1.670,0.00057
96371428571,1.670,0.00057
96400000000,1.670,0.00057
96428571429,1.670,0.00056
96457142857,1.670,0.00056
96485714286,1.670,0.00056
96514285714,1.670,0.00056
96542857143,1.670,0.00055
96571428571,1.670,0.00055
96600000000,1.670,0.00054
96628571429,1.670,0.00054
96657142857,1.670,0.00053
96685714286,1.670,0.00053
96714285714,1.670,0.00052
96742857143,1.670,0.00051
96771428571,1.670,0.00051
96800000000,1.670,0.00050
96828571429,1.670,0.00049
96857142857,1.670,0.00048
96885714286,1.670,0.00047
96914285714,1.670,0.00046
96942857143,1.670,0.00045
96971428571,1.670,0.00044
97000000000,1.670,0.00043
97028571429,1.670,0.00042
97057142857,1.670,0.00041
97085714286,1.670,0.00048
97114285714,1.670,0.00046
97142857143,1.670,0.00044
97171428571,1.670,0.00042
97200000000,1.670,0.00040
97228571429,1.670,0.00038
97257142857,1.670,0.00035
